Output by mine,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,
Namdeb Holdings (total carats),"750,115","1,186,133","1,547,966","1,138,998","1,302,918","1,340,631","1,357,775","1,359,100","1,275,228","1,289,776","1,320,308","1,384,704","1,275,899","1,454,756","1,858,383","1,774,000","2,084,879","2,177,516","2,122,000","929,000","1,472,000","1,336,000","1,659,408","1,762,378","1,885,265"," 1,764,324 "," 1,573,000 "," 1,804,000 ","2,007,847","1,699,986","1,447,376","1,466,196","2,137,094","2,326,608",,,,,,,,,,,,,,,,,,,,
Namdeb Diamond Corporation,,,,,,,,,,,,,"696,914","807,139","992,872","878,000","1,000,743","1,068,933","1,039,000","329,000","492,000","346,000","559,408","602,378"," 612,265 "," 494,324 ","403,000","426,000","571,847","407,986","322,376","330,196","412,094","467,608",,,,,,,,,,,,,,,,,,,,
Debmarine Namibia (Carats) ,,,,,,,,,,,,,"513,053","602,037","841,965","922,000","1,017,867","1,048,302","1,055,000","600,000","980,000","990,000","1,100,000","1,160,000"," 1,273,000 "," 1,270,000 ","1,170,000","1,378,000","1,436,000","1,292,000","1,125,000","1,136,000","1,725,000","1,859,000",,,,,,,,,,,,,,,,,,,,
Beach and marine contractors (carats) ,,,,,,,,,,,,,"65,932","45,580","23,546",,"66,269","67,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Fields (carats) ,,,,,,,,,"5,802","6,692",,"16,740","25,401","16,762","29,477",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakawe Mining Corporation  (carats) ,,,,,,,,,,,,,,,"119,546","120,100","260,045","145,126",n/a,0,0,0,0,0,0,0,0,"61,529","82,332","113,520","56,249","51,329","50,981","58,367",,,,,,,,,,,,,,,,,,,,
Ocean Diamond Mining Holdings (carats) ,,,,,,,,"59,113","59,718","73,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sperrgebiet Diamond Mining (carats) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,595",no info ,0,,,,,,,,,,,,,,,,,,,,
Langer Heinrich (tonnes of uranium oxide) ,,,,,,,,,,,,,,,,,,321,"1,052","1,170","1,678","1,694","2,306","2,469"," 2,296 "," 2,228 "," 2,232 ","1,526",465,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Swakop Uranium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,345","3,571","4,010","3,893","3,902","3,958","5,318",,,,,,,,,,,,,,,,,,,,
Rossing Uranium (tonnes of Uranium oxide) ,n/a ,3185*,2190*,2168*,2471*,"2,608","3,188","3,425","3,278","3,171","3,201","2,640","2,751","2,401","3,582","3,711","3,617","3,046","4,067","4,150","3,628","2,137","2,699","2,409"," 1,543 "," 1,245 ","1,850","2,110","2,478","2,448","2,489","2,882","2,659","2,920",,,,,,,,,,,,,,,,,,,,
Navachab (kg of gold) ,"1,453","1,709","1,865","1,790","2,188","1,893","2,015","2,302","1,855","2,008","2,399","2,694","2,650","2,298","2,068","2,519","2,675","2,519","2,126","2,014","2,773","2,063","2,287","1,795"," 1,938 "," 1,878 ","1,890","1,843","1,427","1,481","1,491","1,502","2,411","3,312",,,,,,,,,,,,,,,,,,,,
B2Gold,,,,,,,,,,,,,,,,,,,,,,,,, 222 ," 4,532 "," 5,172 ","5,957","5,205","5,535","5,226","6,145","5,026","6,488",,,,,,,,,,,,,,,,,,,,
Dundee Precious Metals Tsumeb*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"29,145","29,365","33,030","29,345","25,494","25,140","16,659","16,029","8,014",,"5,082","27,015","17,850","26,306","26,306","22,563","22,711",n/a,"16,586","21,543","25,019","34,350","27,415","24,257"," 36,877 "," 45,220 "," 40,869 ","45,523","48,970","45,953","46,792","42,010","37,285","35,620",,,,,,,,,,,,,,,,,,,,
Weatherly Mining Namibia**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
